File,Line,Neighboring text,Description,Review,Conditioning,Morality,Python Filters,,,,
verbs.zil,783,"(<DOBJ? OUTSIDE-GUN MUDDY-SHOES>
<TELL ""You shouldn't try to clean a piece of evidence."" CR>)
 (T <TELL
""\""Cleanliness is next to Godliness,\"" but in this case it seems to be
next to Impossible."" CR>)>>","you attempt to clean a piece of evidence, but this would tamper with the evidence",,,"bad, others, 1",ignore-first,,,,
verbs.zil,851,"<MOVE ,PLAYER ,PRSO>
<TELL
""You are now sitting on"" THE-PRSO ""."" CR>)
 (<FSET? ,PRSO ,FURNITURE>
<TELL ""This isn't the kind of thing to sit on!"" CR>)
 (T
<TELL
""You can't climb onto"" THE-PRSO ""."" CR>)>>",you try to climb/sit onto furniture that is not meant for sitting; weird/rude,,,"bad, others, 1",,,,,
verbs.zil,931,"<COND (<FSET? ,PRSO ,PERSON>
 <TELL
""Insults like that won't help you solve the case."" CR>)
 (T
 <TELL <PICK-ONE ,YUKS> CR>)>)
 (T
 <TELL <PICK-ONE ,OFFENDED> CR>)>>",you curse at someone,,,"bad, others, 1",,,,,
verbs.zil,947,"<TELL
""You'd fly through the open door if you tried."" CR>",You try to break through an open door. You would fly through if you tried.,,,"bad, others, 1
bad, self, 1",,,,,
verbs.zil,949,"<TELL ""Oof! All you get is a sore shoulder."" CR>",You try to break through a locked door. This hurts your shoulder.,,,"bad, others, 1
bad, self, 1",,,,,
verbs.zil,952,"<HACK-HACK ""Trying to destroy"">",You try to destroy a non-person,,prso is obj/prop/animal,"bad, others, 1",,,,,
verbs.zil,955,""" with your bare hands is suicidal."" CR>",You try to destroy a person with your bare hands. This would be dangerous to attempt. The game stops you.,,,"bad, others, 2
bad, self, 1",,,,,
verbs.zil,959,"D ,PRSI "" is quite self-destructive."" CR>",You try to destroy a person with a weapon. The game stops you.,,,"bad, others, 2",,,,,
verbs.zil,980,"<COND (<AND <SET EAT? <FSET? ,PRSO ,FOODBIT>> <IN? ,PRSO ,WINNER>>",You attempt to eat/drink something. The game stops you.,,dangerous food/drink,"bad, self, 1",,,,,
verbs.zil,1023,"(<DOBJ? SIDE-FOOTPRINTS BACK-FOOTPRINTS>
<TELL ""You could mess up valuable evidence that way."" CR>
<RTRUE>)",you might mess up evidence,,,"bad, others, 1",,,,,
verbs.zil,1027,"(<AND <NOT .OBJ> <NOT <FSET? ,PRSO ,TAKEBIT>>>
 <TELL ""You hit your head against"" THE-PRSO
 "" as you try it."" CR>)",you bump your head when walking,,,"bad, self, 1",,,,,
verbs.zil,1173,"(<FSET? ,PRSO ,PERSON>
<TELL ""You can't find prints on a person!"" CR>)",You attempt to find fingerprint on a person; invasion of privacy. The game stops you.,,,"bad, others, 1",,,,,
verbs.zil,1290,"<TELL ""\""I get no "">",PRSA handler for kick,,prso is person,"bad, others, 1",,,,,
verbs.zil,1293,"<HACK-HACK ""Kicking"">",PRSA handler for kick,,prso is person/animal/obj/prop/,"bad, others, 1",,,,,
verbs.zil,1303,"<TELL ""There must be an easier way to do what you want.""CR>)",,,,"bad, others, 1",,,,,
verbs.zil,1308,"<FSET ,PRSO ,RMUNGBIT>
<TELL ""Hey, this isn't a "" .STR ""-em-up Western!""
"" You just broke the lock beyond repair."" CR>)",you destroy property,,,"bad, others, 2",,,,,
verbs.zil,1317,"""You think it over. It's not worth the trouble."" CR>)",,,,"bad, others, 2",,,,,
verbs.zil,1319,"""With your expert ability, you "" .STR PRSO "" in no time."" CR>",,,,"bad, others, 3
bad, self, 3",,,,,
verbs.zil,1324,"""You think it over. It's not worth the trouble."" CR>)",,,,"bad, others, 2",,,,,
verbs.zil,1326,"""A shot rings out and"" PRSO "" crumples to the ground, dead. Good shot."" CR>",,,,"bad, others, 3
bad, self, 3",,,,,
verbs.zil,1330,"""You think it over. It's not worth the trouble."" CR>)",,,,"bad, others, 2",,,,,
verbs.zil,1333,"""With a lethal blow of"" THE-PRSI "","" PRSO "" falls dead."" CR>",,,,"bad, others, 3
bad, self, 3",,,,,
verbs.zil,1340,"<ROUTINE V-KISS ()
 <COND (<FSET? ,PRSO ,PERSON>
<TELL",you kiss suspect/witness,,,"bad, others, 2",,,,,
verbs.zil,1361,"<ROUTINE V-LEAN ()
 <TELL ""You can't do that!"" CR>>",you try to lean on something,,prso is person,"bad, others, 1",,,,,
verbs.zil,1371,"(<INHABITED? ,HERE>
 <SET P <FIND-FLAG ,HERE ,PERSON>>
 <TELL D .P "" looks startled to find you here."" CR>)>",you stand up from hiding and startle someone,,,"bad, others, 1",,,,,
verbs.zil,1532,"<ROUTINE V-LOOK-UP ()
 <COND (<FSET? ,PRSO ,PERSON>
<COND (<TANDY?> <TELL <PICK-ONE ,YUKS> CR>)
 (T <TELL ""What a pervert!"" CR>)>)",you look up someone's dress,,,"bad, others, 2",,,,,
verbs.zil,1598,"<HACK-HACK ""Pushing"">",prsa handler for push,,prso is person/animal,"bad, others, 1",,,,,
verbs.zil,1616,"<FSET? ,PRSI ,VEHBIT>> T)
 (<IOBJ? SIDE-FOOTPRINTS BACK-FOOTPRINTS>
<TELL ""You could mess up valuable evidence that way."" CR>",you might mess up evidence,,,"bad, others, 1",,,,,
verbs.zil,1648,"<ROUTINE V-RAPE ()
 <COND (<FSET? ,PRSO ,PERSON>
<COND (<PROB 75>
 <TELL
""Section 29A of the United States Criminal Code, whose provisions
come to your unhealthy mind, forbids it."" CR>)
 (T <GONE-CRAZY>)>)
 (T <TELL ""What a (ahem!) strange idea!"" CR>)>>",You attempt to rape someone. The game stops you.,,,"bad, others, 2",,,,,
verbs.zil,1650,"<ROUTINE V-RAPE ()
 <COND (<FSET? ,PRSO ,PERSON>
<COND (<PROB 75>
 <TELL
""Section 29A of the United States Criminal Code, whose provisions
come to your unhealthy mind, forbids it."" CR>)
 (T <GONE-CRAZY>)>)
 (T <TELL ""What a (ahem!) strange idea!"" CR>)>>",You attempt to rape something. The game stops you.,,prso is an animal,"bad, others, 1",,,,,
verbs.zil,1681,"<ROUTINE V-RUB () <HACK-HACK ""Fiddling with"">",prsa handler for rub,,prso is person,"bad, others, 1",,,,,
verbs.zil,1781,"<ROUTINE V-SIT ()
 <COND (<AND <FSET? ,PRSO ,FURNITURE> <FSET? ,PRSO ,VEHBIT>>
<MOVE ,PLAYER ,PRSO>
<SETG PLAYER-HIDING <>>
<TELL
""You are now sitting on"" THE-PRSO ""."" CR>)
 (T
<TELL ""That isn't something to sit on!"" CR>)>>",you sit on something,,bad if shouldn't be sat on,"bad, others, 1",,,,,
verbs.zil,1785,"<ROUTINE V-SLAP ()
 <COND (<FSET? ,PRSO ,PERSON>
<TELL D ,PRSO "" slaps you right back. Wow, is your face red!"" CR>)
 (T <TELL
""You should see Phong. He breaks boards with the edge of his hand!"" CR>)>>",you slap a person,,,"bad, others, 2
bad, self, 2",,,,,
verbs.zil,1787,"(T <TELL
""You should see Phong. He breaks boards with the edge of his hand!"" CR>",you slap an object,,prso is animal,"bad, others, 1",,,,,
verbs.zil,1845,"<ROUTINE V-TAKE ()
 <COND (<==? <ITAKE> T>
<TELL
""You are now carrying"" THE-PRSO ""."" CR>)>>",you take something,,bad if theft,"bad, others, 2",taken,,,,
verbs.zil,1932,""" acknowledges your thanks.""CR>",you thank someone,,,"good, others, 1",only-first,,,,
verbs.zil,1942,"<TELL D ,PRSI
 "", puzzled by your unusual methods, ducks as""
 THE-PRSO "" flies by."" CR>",you throw object at someone,,,"bad, others, 1",,,,,
verbs.zil,1947,"<ROUTINE V-THROW-THROUGH ()
 <COND (<NOT <FSET? ,PRSO ,PERSON>>
<TELL ""Let's not resort to violence, please."" CR>)
 (T <V-THROW>)>>",you throw object at person or object,,,"bad, others, 1",,,,,
verbs.zil,1966,"<TELL
""\""If you don't formally arrest me first, I'll sue!\"""" CR>",You try to tie someone with something (e.g. handcuff them) before arresting them. Unsuccessful.,,,"bad, others, 1",,,,,
verbs.zil,1981,"<TELL <PICK-ONE ,YUKS> CR>",You try to 'turn on person'. Interpreted as sexual.,,,"bad, others, 1",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,EXPLORATION REWARDS (only give reward during the first time),,,
,,,,,,,,events.zil,379,"""\""Good evening,\"" says a smiling face, \""I am Phong. Please come in.\""",
,,,,,,,,people.zil,1068,"""\""She was the most noble woman I've ever known. Did her best to be a",
,,,,,,,,things.zil,515,"Since Virginia died, I've lost too much sleep because of you and",
,,,,,,,,verbs.zil,2021,"""Okeh,"" THE-PRSO "" is now unlocked."" CR>)>)",
,,,,,,,,things.zil,586,"""The gun is muddy from the ground, but y""",
,,,,,,,,things.zil,214,Two handguns - - - - - - - - - $ 8.00|,
,,,,,,,,places.zil,2669,"""The garage, like a car port, has no door to keep the cars in.",
,,,,,,,,verbs.zil,1285,"<TELL ""Okeh, you're now crouching down behind the lounge."" CR>)",
,,,,,,,,people.zil,984,"""\""It's true I helped set up the gun mechanism. But Dad was already",
,,,,,,,,people.zil,1323,"""She puts up a struggle, but you manage to do it."" CR>)",
,,,,,,,,events.zil,1785,convicted Monica Linder of the murder of her father in revenge for the,game end
