File,Line,Neighboring text,Description,Review,Conditioning,Morality,
verbs.zil,1141(b),"<COND (<NOT ,PRSI>
<TELL ""Your blazing gaze is insufficient."" CR>)",PRSA handler for BURN,,prso is object / prop / animal,"bad, others, 1",
verbs.zil,1141(c),"<COND (<NOT ,PRSI>
<TELL ""Your blazing gaze is insufficient."" CR>)",PRSA handler for BURN,,prso is self,"bad, self, 2",
verbs.zil,1151,"<JIGS-UP
""Unfortunately, you were holding it at the time."">","You burn something. It catches you on fire, and you die.",,,"bad, self, 3",
verbs.zil,1156,"<TELL ""The "" D ,PRSO
"" catches fire and is consumed."" CR>",The thing you burn is destroyed,,prso is obj / prop / animal,"bad, others, 2",
verbs.zil,1179,"<REMOVE ,PRSO>
<TELL ""Your skillful ""
 D
 ,PRSI
 ""smanship slices the """,You cut something into bits,,prso is obj / prop / animal,"bad, others, 2",
verbs.zil,1191(a),"<TELL
""I doubt that the \""cutting edge\"" of "" A ,PRSI "" is adequate."" CR>",You try to cut something with a non-weapon,,prso is person,"bad, others, 2",
verbs.zil,1191(b),"<TELL
""I doubt that the \""cutting edge\"" of "" A ,PRSI "" is adequate."" CR>",You try to cut something with a non-weapon,,prso is obj / prop / animal,"bad, others, 1",
verbs.zil,1193(a),"<TELL ""Strange concept, cutting the "" D ,PRSO ""...."" CR>","You try to cut something, but it doesn't work.",,prso is person,"bad, others, 2",
verbs.zil,1193(b),"<TELL ""Strange concept, cutting the "" D ,PRSO ""...."" CR>","You try to cut something, but it doesn't work.",,prso is obj / prop / animal,"bad, others, 1",
verbs.zil,1204(a),"<COND (<NOT ,PRSO> <TELL ""There is nothing here to "" .STR ""."" CR>)",PRSA handler for kill / attack,,prso is person,"bad, others, 2",
verbs.zil,1204(b),"<COND (<NOT ,PRSO> <TELL ""There is nothing here to "" .STR ""."" CR>)",PRSA handler for kill / attack,,prso is obj / prop / animal,"bad, others, 1",
verbs.zil,1204(c),"<COND (<NOT ,PRSO> <TELL ""There is nothing here to "" .STR ""."" CR>)",PRSA handler for kill / attack,,prso is self,"bad, self, 2",
verbs.zil,1250,"<ROUTINE V-RUB () <HACK-HACK ""Fiddling with the "">>",PRSA handler for rub,,prso is person,"bad, others, 1",
verbs.zil,1257(a),"<COND (<NOT <FSET? ,PRSO ,VICBIT>>
<HACK-HACK ""Trying to damage the "">)",PRSA handler for mung,,prso is person,"bad, others, 2",
verbs.zil,1257(b),"<COND (<NOT <FSET? ,PRSO ,VICBIT>>
<HACK-HACK ""Trying to damage the "">)",PRSA handler for mung,,prso is obj / prop / animal,"bad, others, 1",
verbs.zil,1257(c),"<COND (<NOT <FSET? ,PRSO ,VICBIT>>
<HACK-HACK ""Trying to damage the "">)",PRSA handler for mung,,prso is self,"bad, self, 2",
verbs.zil,1339,"<TELL ""You'd probably drown."" CR>",You try to swim in the ocean. Dangerous,,,"bad, self, 2",ignore-first
verbs.zil,1355(a),"<ROUTINE V-MELT () <TELL ""I'm not sure that "" A ,PRSO "" can be melted."" CR>>",PRSA handler for melt,,prso is person,"bad, others, 2",
verbs.zil,1355(b),"<ROUTINE V-MELT () <TELL ""I'm not sure that "" A ,PRSO "" can be melted."" CR>>",PRSA handler for melt,,prso is obj / prop / animal,"bad, others, 1",
verbs.zil,1355(c),"<ROUTINE V-MELT () <TELL ""I'm not sure that "" A ,PRSO "" can be melted."" CR>>",PRSA handler for melt,,prso is self,"bad, others, 2",
verbs.zil,1423,"<TELL
""You are so engrossed in the role of the "" D ,PRSO "" that
you kill yourself, just as he would have done!"" CR>",You die,,,"bad, self, 3",
verbs.zil,1487,"<TELL ""I'd sooner kiss a pig."" CR>>",PRSA handler for kiss,,prso is person,"bad, others, 1",
verbs.zil,1490(a),"<TELL ""What a (ahem!) strange idea."" CR>>",PRSA handler for rape,,prso is person,"bad, others, 2",
verbs.zil,1490(b),"<TELL ""What a (ahem!) strange idea."" CR>>",PRSA handler for rape,,prso is animal,"bad, others, 1",
